Document Link,title
https://geos.epd.georgia.gov/GA/GEOS/Public/EnSuite/Shared/pages/util/StreamDoc.ashx?id=2148&subFormId=523809&type=FORM_FILLED_PDF,ATKINSON CO - SR 50 MSWL
https://geos.epd.georgia.gov/GA/GEOS/Public/EnSuite/Shared/pages/util/StreamDoc.ashx?id=2148&subFormId=522376&type=FORM_FILLED_PDF,"FITZGERALD, KIOCHEE CHURCH RD, PH.2"
https://geos.epd.georgia.gov/GA/GEOS/Public/EnSuite/Shared/pages/util/StreamDoc.ashx?id=2148&subFormId=518734&type=FORM_FILLED_PDF,JENKINS COUNTY TRANSFER STATION
https://geos.epd.georgia.gov/GA/GEOS/Public/EnSuite/Shared/pages/util/StreamDoc.ashx?id=2148&subFormId=517783&type=FORM_FILLED_PDF,HALL CO - CANDLER RD (SR 60)
https://geos.epd.georgia.gov/GA/GEOS/Public/EnSuite/Shared/pages/util/StreamDoc.ashx?id=2148&subFormId=517495&type=FORM_FILLED_PDF,CANDLER COUNTY BOC LANDFILL DBA CANDLER COUNTY LANDFILL
https://geos.epd.georgia.gov/GA/GEOS/Public/EnSuite/Shared/pages/util/StreamDoc.ashx?id=2148&subFormId=517296&type=FORM_FILLED_PDF,MACON CO. - MIDDLE GA SWMA REGIONAL MSWL
https://geos.epd.georgia.gov/GA/GEOS/Public/EnSuite/Shared/pages/util/StreamDoc.ashx?id=2148&subFormId=517282&type=FORM_FILLED_PDF,TOOMBS COUNTY LANDFILL - OPERATOR CERT. #796
https://geos.epd.georgia.gov/GA/GEOS/Public/EnSuite/Shared/pages/util/StreamDoc.ashx?id=2148&subFormId=517272&type=FORM_FILLED_PDF,CLAYTON CO-SR 3 LOVEJOY SITE # 3
https://geos.epd.georgia.gov/GA/GEOS/Public/EnSuite/Shared/pages/util/StreamDoc.ashx?id=2148&subFormId=516773&type=FORM_FILLED_PDF,"GAINESVILLE WASTE & RECYCLING, LLC"
https://geos.epd.georgia.gov/GA/GEOS/Public/EnSuite/Shared/pages/util/StreamDoc.ashx?id=2148&subFormId=516335&type=FORM_FILLED_PDF,MURRAY COUNTY LANDFILL
https://geos.epd.georgia.gov/GA/GEOS/Public/EnSuite/Shared/pages/util/StreamDoc.ashx?id=2148&subFormId=516227&type=FORM_FILLED_PDF,LAMAR COUNTY REGIONAL SOLID WASTE AUTHORITY
https://geos.epd.georgia.gov/GA/GEOS/Public/EnSuite/Shared/pages/util/StreamDoc.ashx?id=2148&subFormId=515101&type=FORM_FILLED_PDF,DOUGHERTY COUNTY FLEMING/GAISSERT RD MSW LANDFILL
https://geos.epd.georgia.gov/GA/GEOS/Public/EnSuite/Shared/pages/util/StreamDoc.ashx?id=2148&subFormId=513498&type=FORM_FILLED_PDF,WHITFIELD CO - DWRSWA OLD DIXIE HWY BALED CARPET
https://geos.epd.georgia.gov/GA/GEOS/Public/EnSuite/Shared/pages/util/StreamDoc.ashx?id=2148&subFormId=513472&type=FORM_FILLED_PDF,OLD DIXIE SANITARY LANDFILL
https://geos.epd.georgia.gov/GA/GEOS/Public/EnSuite/Shared/pages/util/StreamDoc.ashx?id=2148&subFormId=513327&type=FORM_FILLED_PDF,"STEPHENS MDS, LP PROCESSING FACILITY"
https://geos.epd.georgia.gov/GA/GEOS/Public/EnSuite/Shared/pages/util/StreamDoc.ashx?id=2148&subFormId=513267&type=FORM_FILLED_PDF,BROADHURST ENVIRONMENTAL LANDFILL
https://geos.epd.georgia.gov/GA/GEOS/Public/EnSuite/Shared/pages/util/StreamDoc.ashx?id=2148&subFormId=512563&type=FORM_FILLED_PDF,MACON WALKER ROAD MSW LANDFILL
https://geos.epd.georgia.gov/GA/GEOS/Public/EnSuite/Shared/pages/util/StreamDoc.ashx?id=2148&subFormId=512357&type=FORM_FILLED_PDF,LAURENS COUNTY OLD MACON RD. LANDFILL
https://geos.epd.georgia.gov/GA/GEOS/Public/EnSuite/Shared/pages/util/StreamDoc.ashx?id=2148&subFormId=512243&type=FORM_FILLED_PDF,AUGUSTA-RICHMOND COUNTY SOLID WASTE
https://geos.epd.georgia.gov/GA/GEOS/Public/EnSuite/Shared/pages/util/StreamDoc.ashx?id=2148&subFormId=512180&type=FORM_FILLED_PDF,MAPLE HILL LANDFILL
https://geos.epd.georgia.gov/GA/GEOS/Public/EnSuite/Shared/pages/util/StreamDoc.ashx?id=2148&subFormId=511487&type=FORM_FILLED_PDF,GFL ENVIRONMENTAL - EAGLE POINT LANDFILL
https://geos.epd.georgia.gov/GA/GEOS/Public/EnSuite/Shared/pages/util/StreamDoc.ashx?id=2148&subFormId=511409&type=FORM_FILLED_PDF,REPUBLIC WASTE - OAK GROVE SR 324
https://geos.epd.georgia.gov/GA/GEOS/Public/EnSuite/Shared/pages/util/StreamDoc.ashx?id=2148&subFormId=511384&type=FORM_FILLED_PDF,GORDON CO - REDBONE RIDGES RD (SL)
https://geos.epd.georgia.gov/GA/GEOS/Public/EnSuite/Shared/pages/util/StreamDoc.ashx?id=2148&subFormId=511373&type=FORM_FILLED_PDF,REPUBLIC SERVICES - PINE RIDGE RECYCLING (MSWL)
https://geos.epd.georgia.gov/GA/GEOS/Public/EnSuite/Shared/pages/util/StreamDoc.ashx?id=2148&subFormId=511362&type=FORM_FILLED_PDF,TIFTON/TIFT COUNTY LANDFILL
https://geos.epd.georgia.gov/GA/GEOS/Public/EnSuite/Shared/pages/util/StreamDoc.ashx?id=2148&subFormId=511361&type=FORM_FILLED_PDF,HIGHWAY 78 C & D LANDFILLS
https://geos.epd.georgia.gov/GA/GEOS/Public/EnSuite/Shared/pages/util/StreamDoc.ashx?id=2148&subFormId=511215&type=FORM_FILLED_PDF,CAMDEN COUNTY SOLID WASTE DEPARTMENT
https://geos.epd.georgia.gov/GA/GEOS/Public/EnSuite/Shared/pages/util/StreamDoc.ashx?id=2148&subFormId=511207&type=FORM_FILLED_PDF,CAMDEN CO-SR110 MSWL
https://geos.epd.georgia.gov/GA/GEOS/Public/EnSuite/Shared/pages/util/StreamDoc.ashx?id=2148&subFormId=511104&type=FORM_FILLED_PDF,SUPERIOR LANDFILL & RECYCLING CENTER
https://geos.epd.georgia.gov/GA/GEOS/Public/EnSuite/Shared/pages/util/StreamDoc.ashx?id=2148&subFormId=511009&type=FORM_FILLED_PDF,WALTON C&D LANDFILL
https://geos.epd.georgia.gov/GA/GEOS/Public/EnSuite/Shared/pages/util/StreamDoc.ashx?id=2148&subFormId=510857&type=FORM_FILLED_PDF,APPLING COUNTY ROARING CREEK LANDFILL
https://geos.epd.georgia.gov/GA/GEOS/Public/EnSuite/Shared/pages/util/StreamDoc.ashx?id=2148&subFormId=510751&type=FORM_FILLED_PDF,COOK CO. - C.R. 216 CONSTRUCTION/DEMOLITION LANDFILL
https://geos.epd.georgia.gov/GA/GEOS/Public/EnSuite/Shared/pages/util/StreamDoc.ashx?id=2148&subFormId=510722&type=FORM_FILLED_PDF,COOK COUNTY LANDFILL
https://geos.epd.georgia.gov/GA/GEOS/Public/EnSuite/Shared/pages/util/StreamDoc.ashx?id=2148&subFormId=510683&type=FORM_FILLED_PDF,"ADVANCED DISPOSAL DBA EVERGREEN LANDFILL, INC."
https://geos.epd.georgia.gov/GA/GEOS/Public/EnSuite/Shared/pages/util/StreamDoc.ashx?id=2148&subFormId=510681&type=FORM_FILLED_PDF,CHADWICK ROAD LANDFILL
https://geos.epd.georgia.gov/GA/GEOS/Public/EnSuite/Shared/pages/util/StreamDoc.ashx?id=2148&subFormId=510680&type=FORM_FILLED_PDF,WILLOW OAK LANDFILL
https://geos.epd.georgia.gov/GA/GEOS/Public/EnSuite/Shared/pages/util/StreamDoc.ashx?id=2148&subFormId=510676&type=FORM_FILLED_PDF,"WOLF CREEK LANDFILL, LLC"
https://geos.epd.georgia.gov/GA/GEOS/Public/EnSuite/Shared/pages/util/StreamDoc.ashx?id=2148&subFormId=510674&type=FORM_FILLED_PDF,CARUTHERS MILL C&D LANDFILL
https://geos.epd.georgia.gov/GA/GEOS/Public/EnSuite/Shared/pages/util/StreamDoc.ashx?id=2148&subFormId=510667&type=FORM_FILLED_PDF,TURKEY RUN MUNICIPAL SOLID WASTE LANDFILL
https://geos.epd.georgia.gov/GA/GEOS/Public/EnSuite/Shared/pages/util/StreamDoc.ashx?id=2148&subFormId=510664&type=FORM_FILLED_PDF,R&B LANDFILL (SITE 2)
https://geos.epd.georgia.gov/GA/GEOS/Public/EnSuite/Shared/pages/util/StreamDoc.ashx?id=2148&subFormId=510660&type=FORM_FILLED_PDF,PINE BLUFF LANDFILL
https://geos.epd.georgia.gov/GA/GEOS/Public/EnSuite/Shared/pages/util/StreamDoc.ashx?id=2148&subFormId=510614&type=FORM_FILLED_PDF,THOMASVILLE/SUNSET DR PHASES IV & V MSWL
https://geos.epd.georgia.gov/GA/GEOS/Public/EnSuite/Shared/pages/util/StreamDoc.ashx?id=2148&subFormId=510610&type=FORM_FILLED_PDF,THOMAS CO - THOMASVILLE/SUNSET DR PH 3 C/D LANDFILL
https://geos.epd.georgia.gov/GA/GEOS/Public/EnSuite/Shared/pages/util/StreamDoc.ashx?id=2148&subFormId=510489&type=FORM_FILLED_PDF,"CHESSER ISLAND ROAD LANDFILL, INC. MSWL"
https://geos.epd.georgia.gov/GA/GEOS/Public/EnSuite/Shared/pages/util/StreamDoc.ashx?id=2148&subFormId=510271&type=FORM_FILLED_PDF,DECATUR COUNTY SOLID WASTE FACILITY
https://geos.epd.georgia.gov/GA/GEOS/Public/EnSuite/Shared/pages/util/StreamDoc.ashx?id=2148&subFormId=510134&type=FORM_FILLED_PDF,STRICKLAND LOOP MSWL
https://geos.epd.georgia.gov/GA/GEOS/Public/EnSuite/Shared/pages/util/StreamDoc.ashx?id=2148&subFormId=510083&type=FORM_FILLED_PDF,"WI TAYLOR COUNTY DISPOSAL, LLC"
https://geos.epd.georgia.gov/GA/GEOS/Public/EnSuite/Shared/pages/util/StreamDoc.ashx?id=2148&subFormId=510074&type=FORM_FILLED_PDF,US ARMY-FT STEWART MAIN CANTONMENT (L)
https://geos.epd.georgia.gov/GA/GEOS/Public/EnSuite/Shared/pages/util/StreamDoc.ashx?id=2148&subFormId=510068&type=FORM_FILLED_PDF,US ARMY - FT STEWART MAIN CANTONMENT (SL)
https://geos.epd.georgia.gov/GA/GEOS/Public/EnSuite/Shared/pages/util/StreamDoc.ashx?id=2148&subFormId=509936&type=FORM_FILLED_PDF,"SAMPLE & SON, INC."
https://geos.epd.georgia.gov/GA/GEOS/Public/EnSuite/Shared/pages/util/StreamDoc.ashx?id=2148&subFormId=509922&type=FORM_FILLED_PDF,WALKER MOUNTAIN ROAD
https://geos.epd.georgia.gov/GA/GEOS/Public/EnSuite/Shared/pages/util/StreamDoc.ashx?id=2148&subFormId=509898&type=FORM_FILLED_PDF,FLOYD CO - ROME WALKER MTN RD C/D LANDFILL
https://geos.epd.georgia.gov/GA/GEOS/Public/EnSuite/Shared/pages/util/StreamDoc.ashx?id=2148&subFormId=509870&type=FORM_FILLED_PDF,GFL ENVIRONMENTAL/SAFEGUARD LANDFILL
https://geos.epd.georgia.gov/GA/GEOS/Public/EnSuite/Shared/pages/util/StreamDoc.ashx?id=2148&subFormId=509856&type=FORM_FILLED_PDF,WALKER CO - MARBLE TOP RD SITE 2 MSWL
https://geos.epd.georgia.gov/GA/GEOS/Public/EnSuite/Shared/pages/util/StreamDoc.ashx?id=2148&subFormId=509848&type=FORM_FILLED_PDF,RABUN COUNTY - BOGGS MOUNTAIN ROAD C&D LANDFILL
https://geos.epd.georgia.gov/GA/GEOS/Public/EnSuite/Shared/pages/util/StreamDoc.ashx?id=2148&subFormId=509811&type=FORM_FILLED_PDF,FRANKLIN COUNTY - SR 51 CONSTRUCTION/DEMOLITION LANDFILL
https://geos.epd.georgia.gov/GA/GEOS/Public/EnSuite/Shared/pages/util/StreamDoc.ashx?id=2148&subFormId=509580&type=FORM_FILLED_PDF,CITY OF LAGRANGE LANDFILL
https://geos.epd.georgia.gov/GA/GEOS/Public/EnSuite/Shared/pages/util/StreamDoc.ashx?id=2148&subFormId=509561&type=FORM_FILLED_PDF,BARTOW COUNTY BOARD OF COMMISSIONERS
https://geos.epd.georgia.gov/GA/GEOS/Public/EnSuite/Shared/pages/util/StreamDoc.ashx?id=2148&subFormId=509556&type=FORM_FILLED_PDF,ATHENS CLARKE COUNTY LANDFILL
https://geos.epd.georgia.gov/GA/GEOS/Public/EnSuite/Shared/pages/util/StreamDoc.ashx?id=2148&subFormId=509422&type=FORM_FILLED_PDF,FT GORDON
https://geos.epd.georgia.gov/GA/GEOS/Public/EnSuite/Shared/pages/util/StreamDoc.ashx?id=2148&subFormId=509351&type=FORM_FILLED_PDF,JEFFERSON COUNTY MSWL CR 138 WASTE MANAGEMENT FACILITY
https://geos.epd.georgia.gov/GA/GEOS/Public/EnSuite/Shared/pages/util/StreamDoc.ashx?id=2148&subFormId=509336&type=FORM_FILLED_PDF,POLK COUNTY SOLID WASTE MANAGEMENT
https://geos.epd.georgia.gov/GA/GEOS/Public/EnSuite/Shared/pages/util/StreamDoc.ashx?id=2148&subFormId=509118&type=FORM_FILLED_PDF,HOUSTON COUNTY LANDFILL
https://geos.epd.georgia.gov/GA/GEOS/Public/EnSuite/Shared/pages/util/StreamDoc.ashx?id=2148&subFormId=509107&type=FORM_FILLED_PDF,HOUSTON CO - SR247 KLONDIKE C/D LANDFILL
https://geos.epd.georgia.gov/GA/GEOS/Public/EnSuite/Shared/pages/util/StreamDoc.ashx?id=2148&subFormId=509031&type=FORM_FILLED_PDF,PATRICK INERT LANDFILL
https://geos.epd.georgia.gov/GA/GEOS/Public/EnSuite/Shared/pages/util/StreamDoc.ashx?id=2148&subFormId=508842&type=FORM_FILLED_PDF,HABERSHAM SOLID WASTE DEPARTMENT
https://geos.epd.georgia.gov/GA/GEOS/Public/EnSuite/Shared/pages/util/StreamDoc.ashx?id=2148&subFormId=508814&type=FORM_FILLED_PDF,CAIRO MUNICIPAL SOLID WASTE LANDFILL
https://geos.epd.georgia.gov/GA/GEOS/Public/EnSuite/Shared/pages/util/StreamDoc.ashx?id=2148&subFormId=507949&type=FORM_FILLED_PDF,CRISP COUNTY US 41S MSW LANDFILL
https://geos.epd.georgia.gov/GA/GEOS/Public/EnSuite/Shared/pages/util/StreamDoc.ashx?id=2148&subFormId=507113&type=FORM_FILLED_PDF,CHEROKEE CONSTRUCTION & DEMOLITION LANDFILL
